Property_ID,Property,Account ID,Accounts,Date,Month,Year,Quarter,Beginning Balance,Debit,Credit,Ending Balance,Class,Summary Grouping,FS
1001,1340 Burlington LLC,4610-0000,Estimated CAM Charges,2024-04-30,April,2024,Q2,-2400.0,0.0,800.0,-3200.0,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4612-0000,Estimated Insurance,2024-04-30,April,2024,Q2,-3172.77,0.0,1057.59,-4230.36,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4614-0000,Estimated Property Tax,2024-04-30,April,2024,Q2,-11886.48,0.0,3962.16,-15848.64,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,6510-0000,Bank Fees,2024-04-30,April,2024,Q2,4.99,0.0,0.0,4.99,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6610-0000,Mortgage Interest,2024-04-30,April,2024,Q2,9021.21,3051.47,0.0,12072.68,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6850-0000,Taxes and Licenses,2024-04-30,April,2024,Q2,87.0,0.0,0.0,87.0,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6860-0000,Accounting Fees,2024-04-30,April,2024,Q2,64.0,0.0,0.0,64.0,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,9210-0000,Depreciation Expense - Buildings,2024-04-30,April,2024,Q2,6520.11,2173.37,0.0,8693.48,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,9300-0000,Amortization Expense,2024-04-30,April,2024,Q2,157.8,52.6,0.0,210.4,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,1110-0000,Operating Cash,2025-04-30,April,2025,Q2,224699.8,4216.18,0.0,228915.98,Asset,Current Asset,Balance Sheet
1001,1340 Burlington LLC,1620-0000,Land,2025-04-30,April,2025,Q2,85000.0,0.0,0.0,85000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1630-0000,Buildings,2025-04-30,April,2025,Q2,1017139.0,0.0,0.0,1017139.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1640-0000,Furniture and Fixtures,2025-04-30,April,2025,Q2,160000.0,0.0,0.0,160000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1670-0000,Land Improvements,2025-04-30,April,2025,Q2,50000.0,0.0,0.0,50000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1687-0000,Loan Fees,2025-04-30,April,2025,Q2,8023.64,0.0,0.0,8023.64,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1688-0000,Amortized Lease Commission,2025-04-30,April,2025,Q2,45000.0,0.0,0.0,45000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1730-0000,A/D - Buildings,2025-04-30,April,2025,Q2,-111928.62,0.0,2173.37,-114101.99,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1740-0000,A/D - Furniture and Fixtures,2025-04-30,April,2025,Q2,-160000.0,0.0,0.0,-160000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1770-0000,A/D - Land Improvments,2025-04-30,April,2025,Q2,-50000.0,0.0,0.0,-50000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1787-0000,A/A - Loan Fees,2025-04-30,April,2025,Q2,-4966.85,0.0,95.53,-5062.38,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1788-0000,A/A - Lease Commissions,2025-04-30,April,2025,Q2,-26251.71,0.0,535.71,-26787.42,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,2150-0000,Accrued Expenses,2025-04-30,April,2025,Q2,-5868.65,5868.65,0.0,0.0,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,2250-0000,Tenant Deposits,2025-04-30,April,2025,Q2,-15000.0,0.0,0.0,-15000.0,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,2510-0000,Mortgage Principal,2025-04-30,April,2025,Q2,-970335.0,3534.3,0.0,-966800.7,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,3500-0001,Owner Equity - Andrew Danner,2025-04-30,April,2025,Q2,-131230.69,0.0,0.0,-131230.69,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0002,Owner Equity - Alex Danner,2025-04-30,April,2025,Q2,-3409.69,0.0,0.0,-3409.69,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0003,Owner Equity - Sanders Industries,2025-04-30,April,2025,Q2,-90360.24,0.0,0.0,-90360.24,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3800-0000,Retained Earnings,2025-04-30,April,2025,Q2,0.0,0.0,0.0,0.0,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,4140-0000,Rent-Commercial,2025-04-30,April,2025,Q2,-31836.24,0.0,10612.08,-42448.32,Commercial Rent Income,Revenue,Income Statement
1001,1340 Burlington LLC,4610-0000,Estimated CAM Charges,2025-04-30,April,2025,Q2,-2796.46,0.0,1398.23,-4194.69,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4612-0000,Estimated Insurance,2025-04-30,April,2025,Q2,-1263.96,0.0,631.98,-1895.94,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4614-0000,Estimated Property Tax,2025-04-30,April,2025,Q2,-7538.48,0.0,3769.24,-11307.72,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,5320-0000,Recoverable Insurance,2025-04-30,April,2025,Q2,2868.65,0.0,2868.65,0.0,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,5820-0000,Recoverable Management Fee,2025-04-30,April,2025,Q2,3000.0,0.0,3000.0,0.0,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,6320-0000,Insurance,2025-04-30,April,2025,Q2,0.0,5737.3,0.0,5737.3,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6610-0000,Mortgage Interest,2025-04-30,April,2025,Q2,8553.17,2923.75,0.0,11476.92,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6850-0000,Taxes and Licenses,2025-04-30,April,2025,Q2,88.5,0.0,0.0,88.5,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,9210-0000,Depreciation Expense - Buildings,2025-04-30,April,2025,Q2,6520.13,2173.37,0.0,8693.5,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,9300-0000,Amortization Expense,2025-04-30,April,2025,Q2,1893.7,631.24,0.0,2524.94,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,1110-0000,Operating Cash,2024-08-31,August,2024,Q3,204466.54,6958.82,0.0,211425.36,Asset,Current Asset,Balance Sheet
1001,1340 Burlington LLC,1620-0000,Land,2024-08-31,August,2024,Q3,85000.0,0.0,0.0,85000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1630-0000,Buildings,2024-08-31,August,2024,Q3,1227139.0,0.0,0.0,1227139.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1687-0000,Loan Fees,2024-08-31,August,2024,Q3,8023.64,0.0,0.0,8023.64,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1688-0000,Amortized Lease Commission,2024-08-31,August,2024,Q3,45000.0,0.0,0.0,45000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1730-0000,A/D - Buildings,2024-08-31,August,2024,Q3,-94541.59,0.0,2173.37,-96714.96,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1740-0000,A/D - Furniture and Fixtures,2024-08-31,August,2024,Q3,-160000.0,0.0,0.0,-160000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1770-0000,A/D - Land Improvments,2024-08-31,August,2024,Q3,-50000.0,0.0,0.0,-50000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1787-0000,A/A - Loan Fees,2024-08-31,August,2024,Q3,-3589.72,0.0,7.96,-3597.68,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1788-0000,A/A - Lease Commissions,2024-08-31,August,2024,Q3,-18528.48,0.0,44.64,-18573.12,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,2250-0000,Tenant Deposits,2024-08-31,August,2024,Q3,-15000.0,0.0,0.0,-15000.0,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,2510-0000,Mortgage Principal,2024-08-31,August,2024,Q3,-998696.17,3449.13,0.0,-995247.04,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,3500-0001,Owner Equity - Andrew Danner,2024-08-31,August,2024,Q3,-111725.74,0.0,0.0,-111725.74,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0002,Owner Equity - Alex Danner,2024-08-31,August,2024,Q3,16094.26,0.0,0.0,16094.26,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0003,Owner Equity - Sanders Industries,2024-08-31,August,2024,Q3,-64354.31,0.0,0.0,-64354.31,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3800-0000,Retained Earnings,2024-08-31,August,2024,Q3,0.0,0.0,0.0,0.0,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,4140-0000,Rent-Commercial,2024-08-31,August,2024,Q3,-73452.24,0.0,10612.08,-84064.32,Commercial Rent Income,Revenue,Income Statement
1001,1340 Burlington LLC,4610-0000,Estimated CAM Charges,2024-08-31,August,2024,Q3,-7019.18,0.0,1273.06,-8292.24,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4612-0000,Estimated Insurance,2024-08-31,August,2024,Q3,-8229.45,0.0,1333.03,-9562.48,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4614-0000,Estimated Property Tax,2024-08-31,August,2024,Q3,-26841.54,0.0,3664.3,-30505.84,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,5210-0000,Recoverable Repair,2024-08-31,August,2024,Q3,0.0,2405.0,0.0,2405.0,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,5320-0000,Recoverable Insurance,2024-08-31,August,2024,Q3,0.0,0.0,698.85,-698.85,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,5820-0000,Recoverable Management Fee,2024-08-31,August,2024,Q3,7000.0,1000.0,0.0,8000.0,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,6320-0000,Insurance,2024-08-31,August,2024,Q3,0.0,759.45,0.0,759.45,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6610-0000,Mortgage Interest,2024-08-31,August,2024,Q3,20967.2,3008.92,0.0,23976.12,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6850-0000,Taxes and Licenses,2024-08-31,August,2024,Q3,87.0,0.0,0.0,87.0,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6860-0000,Accounting Fees,2024-08-31,August,2024,Q3,2618.99,0.0,0.0,2618.99,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,9210-0000,Depreciation Expense - Buildings,2024-08-31,August,2024,Q3,15213.59,2173.37,0.0,17386.96,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,9300-0000,Amortization Expense,2024-08-31,August,2024,Q3,368.2,52.6,0.0,420.8,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,1110-0000,Operating Cash,2024-12-31,December,2024,Q4,238830.02,0.0,38102.71,200727.31,Asset,Current Asset,Balance Sheet
1001,1340 Burlington LLC,1620-0000,Land,2024-12-31,December,2024,Q4,85000.0,0.0,0.0,85000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1630-0000,Buildings,2024-12-31,December,2024,Q4,1017139.0,0.0,0.0,1017139.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1640-0000,Furniture and Fixtures,2024-12-31,December,2024,Q4,160000.0,0.0,0.0,160000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1670-0000,Land Improvements,2024-12-31,December,2024,Q4,50000.0,0.0,0.0,50000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1687-0000,Loan Fees,2024-12-31,December,2024,Q4,8023.64,0.0,0.0,8023.64,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1688-0000,Amortized Lease Commission,2024-12-31,December,2024,Q4,45000.0,0.0,0.0,45000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1730-0000,A/D - Buildings,2024-12-31,December,2024,Q4,-103235.07,0.0,2173.42,-105408.49,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1740-0000,A/D - Furniture and Fixtures,2024-12-31,December,2024,Q4,-160000.0,0.0,0.0,-160000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1770-0000,A/D - Land Improvments,2024-12-31,December,2024,Q4,-50000.0,0.0,0.0,-50000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1787-0000,A/A - Loan Fees,2024-12-31,December,2024,Q4,-4584.75,0.0,95.54,-4680.29,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1788-0000,A/A - Lease Commissions,2024-12-31,December,2024,Q4,-24108.85,0.0,535.72,-24644.57,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,2250-0000,Tenant Deposits,2024-12-31,December,2024,Q4,-15000.0,0.0,0.0,-15000.0,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,2510-0000,Mortgage Principal,2024-12-31,December,2024,Q4,-984899.65,3743.67,0.0,-981155.98,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,3500-0001,Owner Equity - Andrew Danner,2024-12-31,December,2024,Q4,-111725.74,0.0,0.0,-111725.74,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0002,Owner Equity - Alex Danner,2024-12-31,December,2024,Q4,16094.26,0.0,0.0,16094.26,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0003,Owner Equity - Sanders Industries,2024-12-31,December,2024,Q4,-64354.31,0.0,0.0,-64354.31,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3800-0000,Retained Earnings,2024-12-31,December,2024,Q4,0.0,0.0,0.0,0.0,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,4140-0000,Rent-Commercial,2024-12-31,December,2024,Q4,-115900.56,0.0,10612.08,-126512.64,Commercial Rent Income,Revenue,Income Statement
1001,1340 Burlington LLC,4610-0000,Estimated CAM Charges,2024-12-31,December,2024,Q4,-12111.42,0.0,1273.06,-13384.48,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4612-0000,Estimated Insurance,2024-12-31,December,2024,Q4,-13561.57,0.0,1333.03,-14894.6,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4614-0000,Estimated Property Tax,2024-12-31,December,2024,Q4,-41498.74,0.0,3664.3,-45163.04,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,5210-0000,Recoverable Repair,2024-12-31,December,2024,Q4,2405.0,0.0,0.0,2405.0,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,5320-0000,Recoverable Insurance,2024-12-31,December,2024,Q4,2169.75,0.0,0.0,2169.75,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,5350-0000,Recoverable Property Tax,2024-12-31,December,2024,Q4,0.0,42624.73,0.0,42624.73,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,5820-0000,Recoverable Management Fee,2024-12-31,December,2024,Q4,9000.0,3000.0,0.0,12000.0,Recoverable Expense,Expense,Income Statement
1001,1340 Burlington LLC,6210-0000,Repair,2024-12-31,December,2024,Q4,0.0,2900.0,0.0,2900.0,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6320-0000,Insurance,2024-12-31,December,2024,Q4,759.45,0.0,0.0,759.45,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6610-0000,Mortgage Interest,2024-12-31,December,2024,Q4,33002.88,2714.38,0.0,35717.26,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6850-0000,Taxes and Licenses,2024-12-31,December,2024,Q4,87.0,0.0,0.0,87.0,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6860-0000,Accounting Fees,2024-12-31,December,2024,Q4,2618.99,2.4,0.0,2621.39,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,9210-0000,Depreciation Expense - Buildings,2024-12-31,December,2024,Q4,23907.07,2173.42,0.0,26080.49,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,9300-0000,Amortization Expense,2024-12-31,December,2024,Q4,6943.6,631.26,0.0,7574.86,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,1110-0000,Operating Cash,2024-02-29,February,2024,Q1,153565.18,9646.7,0.0,163211.88,Asset,Current Asset,Balance Sheet
1001,1340 Burlington LLC,1620-0000,Land,2024-02-29,February,2024,Q1,85000.0,0.0,0.0,85000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1630-0000,Buildings,2024-02-29,February,2024,Q1,1227139.0,0.0,0.0,1227139.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1687-0000,Loan Fees,2024-02-29,February,2024,Q1,8023.64,0.0,0.0,8023.64,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1688-0000,Amortized Lease Commission,2024-02-29,February,2024,Q1,45000.0,0.0,0.0,45000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1730-0000,A/D - Buildings,2024-02-29,February,2024,Q1,-81501.37,0.0,2173.37,-83674.74,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1740-0000,A/D - Furniture and Fixtures,2024-02-29,February,2024,Q1,-160000.0,0.0,0.0,-160000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1770-0000,A/D - Land Improvments,2024-02-29,February,2024,Q1,-50000.0,0.0,0.0,-50000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1787-0000,A/A - Loan Fees,2024-02-29,February,2024,Q1,-3541.96,0.0,7.96,-3549.92,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1788-0000,A/A - Lease Commissions,2024-02-29,February,2024,Q1,-18260.64,0.0,44.64,-18305.28,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,2250-0000,Tenant Deposits,2024-02-29,February,2024,Q1,-15000.0,0.0,0.0,-15000.0,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,2510-0000,Mortgage Principal,2024-02-29,February,2024,Q1,-1019559.62,3383.9,0.0,-1016175.72,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,3500-0001,Owner Equity - Andrew Danner,2024-02-29,February,2024,Q1,-111725.74,0.0,0.0,-111725.74,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0002,Owner Equity - Alex Danner,2024-02-29,February,2024,Q1,16094.26,0.0,0.0,16094.26,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0003,Owner Equity - Sanders Industries,2024-02-29,February,2024,Q1,-64354.31,0.0,0.0,-64354.31,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3800-0000,Retained Earnings,2024-02-29,February,2024,Q1,0.0,0.0,0.0,0.0,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,4140-0000,Rent-Commercial,2024-02-29,February,2024,Q1,-10404.0,0.0,10404.0,-20808.0,Commercial Rent Income,Revenue,Income Statement
1001,1340 Burlington LLC,4610-0000,Estimated CAM Charges,2024-02-29,February,2024,Q1,-800.0,0.0,800.0,-1600.0,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4612-0000,Estimated Insurance,2024-02-29,February,2024,Q1,-1057.59,0.0,1057.59,-2115.18,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,4614-0000,Estimated Property Tax,2024-02-29,February,2024,Q1,-3962.16,0.0,3962.16,-7924.32,Miscellaneous Income,Revenue,Income Statement
1001,1340 Burlington LLC,6510-0000,Bank Fees,2024-02-29,February,2024,Q1,4.99,0.0,0.0,4.99,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6610-0000,Mortgage Interest,2024-02-29,February,2024,Q1,3082.35,3074.15,0.0,6156.5,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6850-0000,Taxes and Licenses,2024-02-29,February,2024,Q1,0.0,87.0,0.0,87.0,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6860-0000,Accounting Fees,2024-02-29,February,2024,Q1,32.0,32.0,0.0,64.0,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,9210-0000,Depreciation Expense - Buildings,2024-02-29,February,2024,Q1,2173.37,2173.37,0.0,4346.74,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,9300-0000,Amortization Expense,2024-02-29,February,2024,Q1,52.6,52.6,0.0,105.2,Other Expenses,Other Expenses,Income Statement
1001,1340 Burlington LLC,1110-0000,Operating Cash,2025-02-28,February,2025,Q1,204881.34,4065.53,0.0,208946.87,Asset,Current Asset,Balance Sheet
1001,1340 Burlington LLC,1620-0000,Land,2025-02-28,February,2025,Q1,85000.0,0.0,0.0,85000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1630-0000,Buildings,2025-02-28,February,2025,Q1,1017139.0,0.0,0.0,1017139.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1640-0000,Furniture and Fixtures,2025-02-28,February,2025,Q1,160000.0,0.0,0.0,160000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1670-0000,Land Improvements,2025-02-28,February,2025,Q1,50000.0,0.0,0.0,50000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1687-0000,Loan Fees,2025-02-28,February,2025,Q1,8023.64,0.0,0.0,8023.64,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1688-0000,Amortized Lease Commission,2025-02-28,February,2025,Q1,45000.0,0.0,0.0,45000.0,Asset,Non-Current Asset,Balance Sheet
1001,1340 Burlington LLC,1730-0000,A/D - Buildings,2025-02-28,February,2025,Q1,-107581.86,0.0,2173.38,-109755.24,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1740-0000,A/D - Furniture and Fixtures,2025-02-28,February,2025,Q1,-160000.0,0.0,0.0,-160000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1770-0000,A/D - Land Improvments,2025-02-28,February,2025,Q1,-50000.0,0.0,0.0,-50000.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1787-0000,A/A - Loan Fees,2025-02-28,February,2025,Q1,-4775.81,0.0,95.52,-4871.33,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,1788-0000,A/A - Lease Commissions,2025-02-28,February,2025,Q1,-25180.28,0.0,535.72,-25716.0,Asset,Contra Asset,Balance Sheet
1001,1340 Burlington LLC,2250-0000,Tenant Deposits,2025-02-28,February,2025,Q1,-15000.0,0.0,0.0,-15000.0,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,2510-0000,Mortgage Principal,2025-02-28,February,2025,Q1,-977655.73,3608.26,0.0,-974047.47,Liabilities,Liabilities,Balance Sheet
1001,1340 Burlington LLC,3500-0001,Owner Equity - Andrew Danner,2025-02-28,February,2025,Q1,-131230.69,0.0,0.0,-131230.69,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0002,Owner Equity - Alex Danner,2025-02-28,February,2025,Q1,-3409.69,0.0,0.0,-3409.69,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3500-0003,Owner Equity - Sanders Industries,2025-02-28,February,2025,Q1,-90360.24,0.0,0.0,-90360.24,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,3800-0000,Retained Earnings,2025-02-28,February,2025,Q1,0.0,0.0,0.0,0.0,Equity,Equity,Balance Sheet
1001,1340 Burlington LLC,4140-0000,Rent-Commercial,2025-02-28,February,2025,Q1,-10612.08,0.0,10612.08,-21224.16,Commercial Rent Income,Revenue,Income Statement
1001,1340 Burlington LLC,6610-0000,Mortgage Interest,2025-02-28,February,2025,Q1,2957.8,2849.79,0.0,5807.59,Property Expense,Expense,Income Statement
1001,1340 Burlington LLC,6850-0000,Taxes and Licenses,2025-02-28,February,2025,Q1,0.0,88.5,0.0,88.5,Property Expense,Expense,Income Statement
